id;placed_date;status;code
1;2020-09-15T02:57:52;COMPLETED;Georgia calculate withdrawal
2;2020-09-14T13:54:22;COMPLETED;compress Steel out-of-the-box
3;2020-09-14T15:25:34;PENDING;Concrete
4;2020-09-15T04:51:29;CANCELLED;Investment Account
5;2020-09-14T16:08:19;PENDING;United States of America
6;2020-09-15T06:20:23;CANCELLED;IB Industrial Credit Card Account
7;2020-09-15T09:26:48;CANCELLED;Cotton Egyptian Pound
8;2020-09-14T18:22:52;COMPLETED;Home Loan Account
9;2020-09-15T03:17:08;COMPLETED;Human
10;2020-09-14T13:25:46;CANCELLED;payment
